rank,config,cum_return,positions,pos_per_week,net_per_pos,raw_per_week,cap_feasible_wk,weekly_sd,nw_t_vs_baseline,weeks_won_vs_baseline,mtm_marked_pct,open_at_horizon_frac
632,eb_shrinkage_skill|deflated_sharpe|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,-668.9266399181575,188,7.833333333333333,-3.5581204250965826,-27.87194332992323,-27.87194332992323,128.3107380371234,-1.233707237762224,4,0.9946808510638298,0.13829787234042554
633,t_stat_baseline|deflated_sharpe|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,-668.9266399181575,188,7.833333333333333,-3.5581204250965826,-27.87194332992323,-27.87194332992323,128.3107380371234,-1.233707237762224,4,0.9946808510638298,0.13829787234042554
634,eb_shrinkage_skill|deflated_sharpe|policy_online_weighting|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,-697.0637857786055,171,7.125,-4.0763964080620205,-29.044324407441895,-29.044324407441895,139.17565379042307,-1.5273028507833488,3,1.0,0.14619883040935672
635,gu_koenker_npmle|deflated_sharpe|policy_online_weighting|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,-697.0637857786055,171,7.125,-4.0763964080620205,-29.044324407441895,-29.044324407441895,139.17565379042307,-1.5273028507833488,3,1.0,0.14619883040935672
636,t_stat_baseline|deflated_sharpe|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,-697.0637857786055,171,7.125,-4.0763964080620205,-29.044324407441895,-29.044324407441895,139.17565379042307,-1.5273028507833488,3,1.0,0.14619883040935672
637,gu_koenker_npmle|deflated_sharpe|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,-697.0637857786055,171,7.125,-4.0763964080620205,-29.044324407441895,-29.044324407441895,139.17565379042307,-1.5273028507833488,3,1.0,0.14619883040935672
638,eb_shrinkage_skill|deflated_sharpe|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,-697.0637857786055,171,7.125,-4.0763964080620205,-29.044324407441895,-29.044324407441895,139.17565379042307,-1.5273028507833488,3,1.0,0.14619883040935672
639,proxy_clv|deflated_sharpe|policy_hybrid_displacement|ttr48.0_pb0.3-0.7_act0_trl0_hl0.0|churn0.75,-699.63694796339,244,10.166666666666666,-2.8673645408335653,-29.15153949847458,-29.15153949847458,162.89086608857684,-0.31442040879544336,9,1.0,0.06967213114754098
640,proxy_clv|none|policy_full_rerank|ttr24.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,-712.4054250615277,191,7.958333333333333,-3.7298713354006687,-29.683559377563654,-29.683559377563654,145.40552670849326,-0.3900438575548809,9,0.9895287958115183,0.14136125654450263
641,proxy_clv|deflated_sharpe|policy_hybrid_displacement|ttr24.0_pb0.3-0.7_act0_trl0_hl0.0|churn0.75,-713.9068993365737,208,8.666666666666666,-3.432244708348912,-29.74612080569057,-29.746120805690566,172.6250100393509,-0.3415889739119875,11,1.0,0.057692307692307696
