config,cum_return,mean,sr,n_obs,skew,kurt,se,proxy_clv_tstat,proxy_clv_cov,true_clv_tstat,true_clv_cov
eb_shrinkage_skill|none|policy_online_weighting|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,119047.10075057906,4960.295864607461,0.8034144656655875,24,2.666355094749639,11.077822203619219,1260.2662719318419,8.732762579983476,1.0,1.0157777842393902,0.08688448251589219
eb_shrinkage_skill|none|policy_online_weighting|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,118968.70175406378,4957.029239752657,0.8028527115705917,24,2.665541350793163,11.074222826384165,1260.317542522536,8.732762579983476,1.0,1.0157777842393902,0.08688448251589219
gu_koenker_npmle|none|policy_online_weighting|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,118444.53676280082,4935.189031783368,0.7168470657272347,24,3.2149389508567245,14.152746757676303,1405.3084553659917,8.446834909040739,0.9993058568329718,0.8141032839854797,0.028214027476500363
gu_koenker_npmle|none|policy_online_weighting|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,118345.76714776304,4931.073631156793,0.7162942784767943,24,3.2144595256666113,14.15066817301789,1405.2202010827682,8.446834909040739,0.9993058568329718,0.8141032839854797,0.028214027476500363
gu_koenker_npmle|none|policy_online_weighting|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,117726.74003982647,4905.28083499277,0.7601372146444672,24,3.256497799769075,14.423121996943651,1317.2440952437753,8.78238599698012,0.9991755543081673,2.6921296738055385,0.13648961549256244
gu_koenker_npmle|none|policy_online_weighting|ttr72.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,117614.60942363925,4900.608725984969,0.7593442722796577,24,3.2562878694306105,14.42187743242968,1317.3636831482095,8.78238599698012,0.9991755543081673,2.6921296738055385,0.13648961549256244
t_stat_baseline|none|policy_full_rerank|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,115554.73738064879,4814.7807241937,0.9680540617861327,24,1.1251320078749274,3.2206378062107857,1015.245985324265,8.945439222707188,0.9988394630422819,1.1868758687069294,0.032602713502907325
gu_koenker_npmle|none|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,115552.58941088186,4814.691225453411,0.7342708168487754,24,3.467975119250171,15.666582505889664,1338.463559220776,8.504694096847826,0.9991336678338086,2.700817437927933,0.11134173194238892
gu_koenker_npmle|none|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,115442.53734123899,4810.105722551624,0.7335224768192758,24,3.467955650588462,15.666310696446338,1338.5530097845678,8.504694096847826,0.9991336678338086,2.700817437927933,0.11134173194238892
t_stat_baseline|none|policy_full_rerank|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,115428.73738064879,4809.5307241937,0.9667933160843959,24,1.1251793495663747,3.220723629786228,1015.4614556282792,8.945439222707188,0.9988394630422819,1.1868758687069294,0.032602713502907325
eb_shrinkage_skill|none|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,115163.43081155479,4798.476283814783,0.7752354880272623,24,2.7013860368460114,11.2308925827357,1263.4675333837952,8.307131222617988,1.0,0.11141502040962827,0.06590788777130757
eb_shrinkage_skill|none|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,115084.83682384813,4795.201534327006,0.7746598526264912,24,2.7006028953633083,11.22743026846321,1263.5434908504176,8.307131222617988,1.0,0.11141502040962827,0.06590788777130757
eb_shrinkage_skill|none|policy_online_weighting|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,112437.35091530536,4684.889621471057,0.7396448908757925,24,2.8231678758140633,11.892850766002729,1292.9165080237358,8.323424633610516,0.9995409573481008,-0.5354375904353016,0.021858243722347563
eb_shrinkage_skill|none|policy_online_weighting|ttr24.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,112355.4598878565,4681.4774953273545,0.7390806810214492,24,2.8223366099864395,11.889094089633312,1292.9611295420762,8.323424633610516,0.9995409573481008,-0.5354375904353016,0.021858243722347563
gu_koenker_npmle|none|policy_online_weighting|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,93619.99347011214,3900.8330612546724,0.8489346367948892,24,2.4189212222208543,9.789984718290135,937.9452549224369,7.760024503306622,0.9990756401683515,0.43162088790743314,0.03724973449238878
gu_koenker_npmle|none|policy_online_weighting|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,93526.64111018792,3896.943379591163,0.8480517407820244,24,2.418280790285425,9.788262217766206,937.9855003218944,7.760024503306622,0.9990756401683515,0.43162088790743314,0.03724973449238878
gu_koenker_npmle|none|policy_online_weighting|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,87224.34080845685,3634.3475336857023,0.832011696920325,24,2.3832590789138832,10.25880863554955,891.6438152676767,8.402529787962557,0.9989850449480094,1.5612184329300252,0.04629437839181408
gu_koenker_npmle|none|policy_online_weighting|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,87134.3146738162,3630.5964447423416,0.8310623023185932,24,2.3816098806834916,10.255898295651884,891.7410811410109,8.402529787962557,0.9989850449480094,1.5612184329300252,0.04629437839181408
proxy_clv|deflated_sharpe|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,86070.52523435252,3586.2718847646884,0.8001842499639371,24,1.1652985384480599,4.281788923699386,914.8451535754322,6.166510651543672,0.9989690721649485,3.988569826283946,0.7
proxy_clv|deflated_sharpe|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,85889.42028910507,3578.725845379378,0.7986694812025132,24,1.1650370177474365,4.2799770236613535,914.65164426667,6.166510651543672,0.9989690721649485,3.988569826283946,0.7
gu_koenker_npmle|none|policy_online_weighting|ttr48.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,83697.69174998463,3487.4038229160265,0.856146815648035,24,2.1168747399096026,9.431425616835163,831.4734242075997,8.084350809616978,0.9989438439585627,0.8751671850114,0.03377452192085571
gu_koenker_npmle|none|policy_online_weighting|ttr48.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,83605.7197377411,3483.571655739213,0.8550838601352646,24,2.114881123913147,9.428148019710717,831.5922212231516,8.084350809616978,0.9989438439585627,0.8751671850114,0.03377452192085571
eb_shrinkage_skill|none|policy_online_weighting|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,78360.3515601028,3265.014648337617,0.7943217734109372,24,2.4522036916092813,9.970932987343534,839.0407345876172,7.655545151009381,1.0,0.0021458871905387276,0.032150122350305135
eb_shrinkage_skill|none|policy_online_weighting|ttr72.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,78285.65578551184,3261.902324396327,0.7935075351954127,24,2.4508628501752683,9.96706438729534,839.1010724724623,7.655545151009381,1.0,0.0021458871905387276,0.032150122350305135
t_stat_baseline|deflated_sharpe|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,78029.06012856927,3251.210838690386,0.9414414763176816,24,0.4389738234493571,2.3680394775289484,704.9303117727977,5.933901936154809,0.9969293756397134,3.9535887790855178,0.7052200614124872
t_stat_baseline|deflated_sharpe|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,77884.90505017265,3245.204377090527,0.9400551249635508,24,0.4388804499262244,2.3659844655269717,704.6656647951481,5.933901936154809,0.9969293756397134,3.9535887790855178,0.7052200614124872
eb_shrinkage_skill|none|policy_online_weighting|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,77048.6323607179,3210.3596816965787,0.8606704065056923,24,2.072704553992058,8.099093861957504,761.3970701908127,7.609733681980942,1.0,-0.5115063288826365,0.025287691187181355
eb_shrinkage_skill|none|policy_online_weighting|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,76978.36866039963,3207.4320275166515,0.8597479613557483,24,2.0709379524206377,8.094541836115543,761.5188990665703,7.609733681980942,1.0,-0.5115063288826365,0.025287691187181355
eb_shrinkage_skill|none|policy_online_weighting|ttr48.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,76527.36677570007,3188.640282320836,0.8483262473641635,24,2.063740565883545,8.220063247152655,767.25018718116,7.616567737355872,1.0,-0.3816647292548689,0.02603961981281749
eb_shrinkage_skill|none|policy_online_weighting|ttr48.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,76456.2228085454,3185.6759503560584,0.8474048552618202,24,2.0620219270569486,8.215588578785606,767.3703735759674,7.616567737355872,1.0,-0.3816647292548689,0.02603961981281749
t_stat_baseline|none|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.0,68542.16904483906,2855.9237102016273,0.3885279994671054,24,2.4501097216736296,9.404862614178866,1500.4400892396175,10.18132603364602,0.9987595250753145,3.2611986522739893,0.03436954960500667
t_stat_baseline|none|policy_online_weighting|ttr48.0_pb0.15-0.85_act0_trl20_hl0.0|churn0.75,68380.63593459356,2849.1931639413983,0.38782634543825384,24,2.450692758125057,9.407818271269083,1499.6122002309814,10.18132603364602,0.9987595250753145,3.2611986522739893,0.03436954960500667
t_stat_baseline|none|policy_online_weighting|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.0,68186.6841652637,2841.1118402193206,0.3891214841428524,24,1.9193799486715972,6.732366440167708,1490.381666205262,8.923470223368941,0.9988526820036667,1.1803263253334402,0.03307114554379324
t_stat_baseline|none|policy_online_weighting|ttr24.0_pb0.3-0.7_act0_trl20_hl0.0|churn0.75,68061.29984662797,2835.8874936094985,0.3884853304284229,24,1.9192552677809303,6.735589926249181,1490.0771413133677,8.923470223368941,0.9988526820036667,1.1803263253334402,0.03307114554379324
gu_koenker_npmle|none|policy_full_rerank|ttr48.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,64969.89137274417,2707.0788071976735,0.45416556828379345,24,2.3116518068744263,7.108992813215845,1216.6931757570233,5.150303346133992,1.0,-1.5943135445031527,0.04706676162986843
gu_koenker_npmle|none|policy_full_rerank|ttr72.0_pb0.15-0.85_act0_trl0_hl0.0|churn0.0,64890.90787154903,2703.78782798121,0.4812754523747721,24,2.157732314178854,6.264225769777717,1146.761956280685,5.326854390991401,1.0,-0.8992063903275685,0.06202157405002368
